code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
dz,13828152297,11946771141,9595044251,12887461719,13640013825,14486635612,13790556982,15094173154,16723776097,18134139015,19741305571,17504276281,22304643652,23155159027,24890619160,26146435917,28339273834,29829518900,32578260067,35014405842,35291232178,36349967756,38676367201,40764892197,43047724737,44640489378,44819051777,44505319532,44060263881,45998916445,46366908062,45810504880,46635095028,45655757681,45244857431,46964159665,48889689496,49427476044,51948279105,53610624834,54790058957,56214597843,58856686557,62917798908,66189522629,69565187811,70956491567,73085186314,74839230786,76635372324,79164339611,81143448101
ar,1.08322E+11,1.14202E+11,1.13229E+11,1.07218E+11,1.1808E+11,1.3056E+11,1.29699E+11,1.33839E+11,1.40293E+11,1.53873E+11,1.5856E+11,1.67531E+11,1.70259E+11,1.75046E+11,1.84733E+11,1.84681E+11,1.80953E+11,1.93501E+11,1.84782E+11,2.03671E+11,2.12127E+11,2.00058E+11,1.90141E+11,1.97509E+11,2.01878E+11,1.86562E+11,2.01255E+11,2.07112E+11,2.01816E+11,1.86687E+11,1.82209E+11,2.05294E+11,2.29808E+11,2.43383E+11,2.57587E+11,2.50258E+11,2.64089E+11,2.85509E+11,2.96502E+11,2.86464E+11,2.84204E+11,2.71674E+11,2.42076E+11,2.63469E+11,2.87259E+11,3.13626E+11,3.40178E+11,3.69615E+11,3.94595E+11,3.9795E+11,4.34406E+11,4.72935E+11
au,96677859364,98950410413,1.00303E+11,1.06581E+11,1.14018E+11,1.20858E+11,1.23724E+11,1.31483E+11,1.38245E+11,1.47987E+11,1.5858E+11,1.64954E+11,1.71439E+11,1.75937E+11,1.8309E+11,1.8537E+11,1.90251E+11,1.96879E+11,1.98667E+11,2.06839E+11,2.13135E+11,2.20399E+11,2.27513E+11,2.22235E+11,2.32454E+11,2.4438E+11,2.55503E+11,2.62027E+11,2.77414E+11,2.88344E+11,2.98651E+11,2.97937E+11,2.9929E+11,3.11519E+11,3.23874E+11,3.36634E+11,3.50711E+11,3.64642E+11,3.81363E+11,4.01041E+11,4.16888E+11,4.25524E+11,4.42135E+11,4.56603E+11,4.75579E+11,4.89652E+11,5.0474E+11,5.2273E+11,5.42761E+11,5.50622E+11,5.63049E+11,5.73454E+11
at,52392699681,55294196572,56758760195,59107589568,62727547439,64910575812,68573389646,70636109983,73795177759,78426465090,82875391403,87114441714,92522385131,97047132641,1.00873E+11,1.00506E+11,1.05108E+11,1.10372E+11,1.10211E+11,1.16224E+11,1.18297E+11,1.18126E+11,1.20426E+11,1.23982E+11,1.24058E+11,1.27105E+11,1.30049E+11,1.318E+11,1.35933E+11,1.41217E+11,1.47354E+11,1.52425E+11,1.55616E+11,1.56436E+11,1.60194E+11,1.64468E+11,1.68525E+11,1.72416E+11,1.78943E+11,1.85276E+11,1.92071E+11,1.93718E+11,1.96999E+11,1.98704E+11,2.0385E+11,2.08744E+11,2.16404E+11,2.24424E+11,2.27557E+11,2.18888E+11,2.23954E+11,2.30913E+11
bd,12767231590,13540691011,14279069088,14213971626,15770797883,16024117621,16435426595,16127120357,17657496028,17873068964,18877509042,17843119136,15349770078,15860254341,17381563007,16670967499,17614771185,18085623890,19364971579,20294806754,20461050013,21238978734,21743716016,22616962795,23788673522,24555449226,25598704785,26554115959,27127473044,27836138078,29489968538,30474743435,32010406325,33474682526,34842024065,36558011931,38247711533,40308326777,42415457211,44480763467,47124925462,49610300682,51800799317,54523446362,57942340648,61393084272,65463038830,69670899876,73983829245,78231358239,82979485251,88507817581
be,68236665814,71634993490,75368611864,78648340531,84119657630,87114872497,89864126386,93340202847,97255011947,1.03703E+11,1.09689E+11,1.14061E+11,1.20102E+11,1.27766E+11,1.33599E+11,1.30973E+11,1.38376E+11,1.39242E+11,1.432E+11,1.46552E+11,1.53065E+11,1.52637E+11,1.53546E+11,1.54024E+11,1.57823E+11,1.6043E+11,1.63354E+11,1.67122E+11,1.75016E+11,1.81088E+11,1.86769E+11,1.90193E+11,1.93104E+11,1.91246E+11,1.97418E+11,2.02126E+11,2.05005E+11,2.12662E+11,2.16764E+11,2.24436E+11,2.32673E+11,2.34552E+11,2.37742E+11,2.39659E+11,2.4749E+11,2.51845E+11,2.58691E+11,2.66244E+11,2.68825E+11,2.61296E+11,2.67143E+11,2.72271E+11
bz,86532304,90765704,95206560,99925400,104921536,110094728,115347208,121014360,129929752,136564464,143130064,148797216,164001760,172778928,196207744,203257136,203188016,216388320,233528000,251082336,289162816,292894848,292065504,285914560,291512608,294622624,308099392,342655168,374308256,423308352,468300000,517457662,579737611,616125223,617098317,621072231,629945630,652278361,676679801,736094779,832072465,873319742,917848111,1003404009,1049766699,1081553523,1131878726,1147050000,1187100524,1187100524,1221526439,1245956968
bj,621797131,641329523,619354945,648650607,691790796,728413252,754460310,762596400,791897913,814684760,831774871,819324517,871977322,904294243,934491451,888744866,896604537,941288293,953102195,1015394547,1084256208,1192185577,1218831715,1165839073,1258288241,1353041433,1382417879,1361681570,1408050167,1367862156,1411814142,1478487197,1537774239,1591893790,1661498639,1737998383,1834412163,1947193116,2035610257,2131227490,2254838685,2367580619,2474121747,2570612495,2650301482,2727160225,2838973721,2969566512,3121014404,3239612952,3336801340,3440241815
bo,3001815692,3064252968,3234938744,3442644495,3607704142,3810638169,4058226603,4338604114,3810638169,3928616028,3909176407,4107111161,4434344635,4688838836,4826670434,5179549165,5418562956,5687931406,5804687265,5812427470,5732694165,5748494409,5522076279,5298867252,5288233917,5199582624,5065751743,5190545502,5341564705,5544016866,5801025729,6106538030,6207082181,6472080851,6774150097,7091063596,7400329012,7766956761,8157584561,8192408095,8397858206,8539261261,8751510220,8988793402,9363922319,9777941879,10246990606,10714702655,11373495913,11755304106,12240412986,12863340654
bw,124460933,132351054,141174461,149533469,159750039,169037837,179761624,190411715,210532629,242372325,283867117,357164757,451320315,547465906,595630843,645939309,714714904,800566746,915310388,1026507684,1149554148,1253759594,1406286115,1591166745,1727138046,1850201316,2001416865,2239223778,2674752123,3024058863,3228872988,3469705220,3570918962,3639341603,3771373857,3937459475,4156073604,4578731951,5062855231,5319318420,5632391130,5832008813,6357436299,6756370185,7160256353,7277848792,7651617602,8019553719,8255372642,7857039300,8408166868,8833027411
br,1.05343E+11,1.16168E+11,1.22228E+11,1.23297E+11,1.27594E+11,1.31491E+11,1.36948E+11,1.43679E+11,1.60098E+11,1.75685E+11,1.91092E+11,2.12676E+11,2.3831E+11,2.71622E+11,2.96183E+11,3.11611E+11,3.42119E+11,3.57878E+11,3.69444E+11,3.94441E+11,4.30379E+11,4.11471E+11,4.13858E+11,3.99746E+11,4.2081E+11,4.54247E+11,4.90533E+11,5.08191E+11,5.07669E+11,5.24318E+11,5.01772E+11,5.09359E+11,5.06981E+11,5.30632E+11,5.58938E+11,5.83625E+11,5.96173E+11,6.16294E+11,6.16527E+11,6.18074E+11,6.44702E+11,6.5315E+11,6.70513E+11,6.78218E+11,7.1696E+11,7.39613E+11,7.68867E+11,8.15703E+11,8.57886E+11,8.5507E+11,9.19487E+11,9.44612E+11
bf,596612183,620738750,658782579,650429108,665277229,690321892,694033153,755269884,778462515,794234796,795164207,806402580,825042565,828749707,897423443,924331634,1003222368,1006937838,1053335771,1091936540,1100637952,1147473436,1257197102,1261546812,1239107721,1344647048,1451618598,1448187889,1532118965,1565063618,1555627403,1696722567,1700671023,1759537794,1782675844,1884580260,2092161948,2224320361,2386867457,2563595395,2610945549,2784535504,2915395385,3149921833,3295911699,3581061359,3823420769,3961301219,4191056891,4315340132,4655655008,4849461450
bi,341126765,294235019,320902003,334172609,355135383,369224405,386256701,439643242,438333617,431935957,524049197,538443931,503962171,538680380,534765038,538497272,581268284,647936577,641842241,652528626,658995548,739150992,731363299,758535837,759715694,849234363,876836012,925089141,971630601,984742778,1019207023,1070135131,1080943479,1013492606,974675839,897481512,825682991,812554632,851150977,842554352,835334807,852507679,890414598,879518346,922031253,930329534,980424592,1027346066,1079207715,1116639230,1158914103,1207491444
cm,2537944080,2785779139,2870510257,2977940547,3083572854,3146047697,3291236402,2932094527,3118174741,3271011438,3372153343,3489494427,3582798039,3774681265,4179865452,4649893779,4394375680,4998157253,6097902039,6465917670,6338843529,7421688027,7979517136,8527457057,9164848021,9903824534,10574478164,10347481106,9537932265,9364425783,8792662258,8457784979,8195593373,7933334602,7735001163,7990255903,8389769052,8817647112,9261990653,9668944996,10075040331,10529854963,10952001542,11393475992,11815245845,12086601214,12476049222,12912710945,13287179562,13552923153,13986616694,14518108128
ca,1.67895E+11,1.73206E+11,1.85533E+11,1.95146E+11,2.0822E+11,2.22039E+11,2.3666E+11,2.43559E+11,2.56457E+11,2.69946E+11,2.7692E+11,2.88323E+11,3.04024E+11,3.25197E+11,3.372E+11,3.43347E+11,3.61199E+11,3.7369E+11,3.88464E+11,4.03245E+11,4.11966E+11,4.26397E+11,4.14207E+11,4.25464E+11,4.50202E+11,4.71722E+11,4.83142E+11,5.03691E+11,5.28747E+11,5.42597E+11,5.43644E+11,5.3227E+11,5.36929E+11,5.49485E+11,5.75883E+11,5.92057E+11,6.01641E+11,6.27066E+11,6.52759E+11,6.88868E+11,7.24919E+11,7.3785E+11,7.59429E+11,7.73714E+11,7.97854E+11,8.21941E+11,8.45145E+11,8.63738E+11,8.69687E+11,8.45599E+11,8.72784E+11,8.94252E+11
cf,534982718,561479896,540628554,536804991,547972474,553164891,556732800,582768491,590951707,632858495,647622869,654941830,654936703,667306943,709608469,712482410,751187609,779779920,789209202,769754633,735280403,723923942,779779920,716411512,784338464,815141623,844307120,802606511,816333273,832474750,814596169,810096120,758054781,760595370,797864536,855310801,821098357,864616592,905253519,937842672,959413051,961916949,956312926,883633144,892469476,913888743,948616515,983715326,1003389633,1020447256,1054122016,1086799798
td,750173439,760658941,801431143,788612621,768811034,773471780,759494431,765321282,761822089,814245430,829387598,810746064,820066531,751337715,788617984,859674573,885299454,905082575,900831998,707683820,664885432,671819643,707739212,818703646,835478056,1017551897,976018811,952703591,1100204582,1153946661,1105729319,1200104833,1296130541,1092510545,1203257112,1218135979,1245111272,1315502297,1406950491,1397343126,1385050964,1546522070,1677840504,1924846596,2572160416,3017980987,3024016949,3030064983,3017944723,2981729387,3369354207,3473804187
cl,14087170195,14657690860,15418876405,16361981977,16798498659,16868577798,18555706498,19231279565,19952775457,20645399593,21083602246,22984914082,22796622697,21670218613,22210640172,19686893963,20357505085,22128086935,23779489868,25844101253,27950035375,29274115494,26252080505,25258026490,27271935216,29213486581,30848376502,32882584739,35286696752,39013086690,40455626742,43679935489,49042927669,52469207193,55464212029,61358713993,65907537053,70261111897,72531163202,71979306357,75210511780,77750400228,79448554863,82560485563,87548035975,91287855656,96486092629,1.01466E+11,1.04806E+11,1.0372E+11,1.10042E+11,1.16632E+11
cn,70348527260,51282752582,48151766858,53131628623,61546062211,71616855292,79279858808,74760906856,71695709675,83812284610,1.00072E+11,1.07077E+11,1.11146E+11,1.19926E+11,1.22685E+11,1.33358E+11,1.31224E+11,1.41198E+11,1.57718E+11,1.69704E+11,1.82941E+11,1.92454E+11,2.09967E+11,2.32854E+11,2.68248E+11,3.04461E+11,3.31254E+11,3.69679E+11,4.11453E+11,4.28322E+11,4.44599E+11,4.85502E+11,5.54443E+11,6.32065E+11,7.14865E+11,7.92786E+11,8.72064E+11,9.53166E+11,1.02751E+12,1.1056E+12,1.19847E+12,1.29795E+12,1.41606E+12,1.55767E+12,1.71499E+12,1.90879E+12,2.1512E+12,2.45667E+12,2.69251E+12,2.94022E+12,3.24601E+12,3.54789E+12
co,19017657851,20019008355,21113347503,21726503327,23160961294,23858682287,25128529190,26181574241,27864380352,29681398501,31746189470,33635476030,36216465586,38652921703,40872574277,41791408981,43804579414,45621599255,49482760497,52146344940,54283406011,55511957161,56038477150,56926337503,58836273631,60653293472,64194410101,67642617209,70388786389,72794271537,77192529433,78950382026,82923700136,84885385125,89839136187,94512961181,96456010347,99764734772,1.00333E+11,96115156245,1.00364E+11,1.02048E+11,1.04603E+11,1.08702E+11,1.14498E+11,1.19887E+11,1.27917E+11,1.36744E+11,1.41594E+11,1.43932E+11,1.49691E+11,1.58566E+11
cd,4992962083,4451156989,5394833319,5676119396,5537609393,5592838673,5971780635,5912914485,6169103240,6744608852,6728080745,7132103209,7142882350,7724118393,7965928553,7569095386,7167251955,7221779949,6835754757,6865154536,7015838700,7180747678,7147883004,7248789932,7650450747,7686243454,8048819672,8264177308,8303050456,8197929633,7659464144,7014456724,6277938167,5432359503,5220497656,5257041078,5203252472,4910983356,4831221421,4624921463,4305797176,4215380704,4361586318,4614184091,4920560759,5303776065,5599793442,5950214773,6316453096,6495485661,6961485000,7440411972
cg,626127041,678538008,713837650,685074987,711222903,737370784,747391524,763208362,821451282,883458739,939633199,1012483298,1099734561,1190255791,1284113659,1383396150,1396072025,1271075722,1351912922,1484579175,1746408548,2054120887,2538846171,2687469282,2874950661,2840863497,2645936897,2650947683,2697770403,2767909102,2795588292,2862682411,2937112153,2907741032,2747815275,2857727886,2980610185,2962726524,3072347405,2992466373,3219893817,3342249782,3495993272,3523961218,3647299861,3931789250,4173100882,4106748578,4335494474,4659307269,5067059617,5293029727
cr,2398494445,2375566267,2569135008,2692060708,2803755710,3079354166,3321721143,3509402571,3803666600,4015824845,4317137578,4609774984,4986764462,5371189936,5669017047,5788070432,6107430946,6651265573,7068146069,7417250565,7473020531,7304006551,6771868125,6965746215,7397741148,7474782131,7907194502,8450848890,8773620017,9218062905,9578020684,9824359311,10723486281,11518491952,12063270098,12536256860,12647402445,13352898208,14474254065,15664354699,15946443261,16118090925,16585867507,17648111591,18399824531,19482907711,21193436187,22875207933,23497907525,23261376837,24349981201,25363904537
