Country Name,Latitude,Longitude,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,-35,-65.2,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.84711E+11,5.45476E+11
Australia,-22,134,25962593795,27288610147,30421099787,32687870982,36659200358,41304737373,45183111211,52003504673,63782190903,88906411201,97226546497,1.04974E+11,1.10266E+11,1.18401E+11,1.34794E+11,1.49887E+11,1.76805E+11,1.93955E+11,1.77176E+11,1.93504E+11,1.80471E+11,1.82282E+11,1.89376E+11,2.36136E+11,2.99941E+11,3.11426E+11,3.26069E+11,3.25693E+11,3.12373E+11,3.23217E+11,3.68392E+11,4.01819E+11,4.36098E+11,3.99779E+11,3.89147E+11,4.15446E+11,3.789E+11,3.94636E+11,4.66853E+11,6.1333E+11,6.93764E+11,7.47573E+11,8.53765E+11,1.05533E+12,9.27168E+11,1.14288E+12,1.39056E+12,1.53819E+12,1.56718E+12,1.4596E+12,1.34538E+12,1.20462E+12
Brazil,-9.9,-52.1,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80365E+12,1.79619E+12
Canada,50.1,-93.1,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12
China,33.8,106.7,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688E+11,1.38544E+11,1.44182E+11,1.63432E+11,1.5394E+11,1.74938E+11,1.49541E+11,1.78281E+11,1.91149E+11,1.95866E+11,2.0509E+11,2.30687E+11,2.59947E+11,3.09488E+11,3.00758E+11,2.72973E+11,3.12354E+11,3.47768E+11,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.11991E+13
Egypt,25.7,30.3,5111621014,5339520613,5579168510,6109112150,6861743341,7682491836,8266003571,8763960703,9616725366,9015166840,11437965585,13360476862,14636028767,14849909491,18150000571,22912500556,23405404730,25592365394,28137369499,30642873038,34689560465,35880262675,40507934171,35044634015,39648442534,43130416913,36970555899,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,1.07484E+11,1.30479E+11,1.62818E+11,1.88982E+11,2.18888E+11,2.36002E+11,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32791E+11
France,45.4,1.7,1.02161E+11,1.10597E+11,1.19466E+11,1.29847E+11,1.40725E+11,1.48949E+11,1.66564E+11,2.04283E+11,2.65382E+11,2.86526E+11,3.62001E+11,3.7341E+11,4.11464E+11,5.08183E+11,6.15834E+11,7.03525E+11,6.1759E+11,5.86837E+11,5.61852E+11,5.32649E+11,5.55197E+11,7.74556E+11,9.38368E+11,1.0235E+12,1.03012E+12,1.2753E+12,1.27556E+12,1.40872E+12,1.33009E+12,1.40164E+12,1.60989E+12,1.61425E+12,1.46071E+12,1.51076E+12,1.50028E+12,1.36844E+12,1.38222E+12,1.50034E+12,1.84812E+12,2.12411E+12,2.20368E+12,2.32501E+12,2.66311E+12,2.92347E+12,2.69383E+12,2.64684E+12,2.86268E+12,2.68142E+12,2.80851E+12,2.84931E+12,2.43356E+12,2.46545E+12
India,20.5,77.7,58760424675,45253641300,49466168893,52377324280,57668330027,61589800520,66452561868,70509913047,84374541625,98198276857,97159222028,1.01347E+11,1.19867E+11,1.35469E+11,1.50951E+11,1.8384E+11,1.9091E+11,1.98038E+11,2.15351E+11,2.09328E+11,2.2941E+11,2.45665E+11,2.75311E+11,2.92633E+11,2.92093E+11,3.16697E+11,2.66502E+11,2.84364E+11,2.7557E+11,3.2291E+11,3.55476E+11,3.87656E+11,4.1032E+11,4.15731E+11,4.527E+11,4.62147E+11,4.78965E+11,5.08069E+11,5.99593E+11,6.99689E+11,8.08901E+11,9.20317E+11,1.20111E+12,1.18695E+12,1.32394E+12,1.65662E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03539E+12,2.08987E+12,2.26379E+12
Japan,35.8,137.9,90950278258,1.05628E+11,1.23782E+11,1.46601E+11,1.72204E+11,2.11514E+11,2.38915E+11,3.16393E+11,4.29857E+11,4.77156E+11,5.18856E+11,5.83143E+11,7.17696E+11,1.00839E+12,1.04958E+12,1.09969E+12,1.21551E+12,1.12989E+12,1.23234E+12,1.30974E+12,1.40071E+12,2.07503E+12,2.51428E+12,3.05064E+12,3.05232E+12,3.13997E+12,3.57814E+12,3.89783E+12,4.46657E+12,4.90704E+12,5.44912E+12,4.83371E+12,4.41473E+12,4.03251E+12,4.56208E+12,4.88752E+12,4.30354E+12,4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.85041E+12,4.39498E+12,4.94927E+12
Mexico,22.5,-101.8,21829712000,24337232000,26556376000,29363632000,32515752000,35541712000,39200880000,45178120000,55271304000,71976544000,88003984000,89023915584,81825783186,1.02517E+11,1.3454E+11,1.94357E+11,2.50083E+11,1.73721E+11,1.48867E+11,1.75632E+11,1.84473E+11,1.2944E+11,1.40264E+11,1.83144E+11,2.22977E+11,2.6271E+11,3.14454E+11,3.63609E+11,5.03963E+11,5.27319E+11,3.43793E+11,3.97404E+11,4.80555E+11,5.0201E+11,5.7946E+11,6.83648E+11,7.24704E+11,7.4156E+11,7.13284E+11,7.70268E+11,8.66346E+11,9.65281E+11,1.04347E+12,1.10128E+12,8.94949E+11,1.05113E+12,1.17119E+12,1.1866E+12,1.26198E+12,1.29846E+12,1.15226E+12,1.04692E+12
